ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
12818	Cloudmark Labs	2002-03-04	31,909	512	1	
15543	ODDO ET CIE SCA	2000-07-31	33,295	512	2	
15847	Interfaces SARL	2000-10-24	35,087	512	2	
16057	Agelia Autonomous System	2000-12-08	35,796	512	1	
20541	Generali Vie S.A	2001-03-28	33,161	512	2	
29246	OPTILIAN SARL	2003-07-09	36,463	512	1	1
29301	KARAVEL SAS	2003-07-28	37,184	512	2	1
31618	United Technologies International Operations Inc	2004-06-24	33,586	512	2	
31629	LOREAL SA	2004-06-25	33,588	512	2	
33945	Gaz de France	2004-09-14	36,645	512	1	
38989	PowerNext SA	2005-11-24	32,690	512	2	
39495	Colibri Solutions SAS	2006-03-07	33,474	512	2	
39631	B3G Telecom	2006-03-29	32,777	512	1	
39694	i-CIF Groupement d'interet economique a capital va	2006-04-11	34,893	512	2	
39899	Natixis SA	2006-05-11	33,523	512	2	
41559	Sanofi Aventis group SA	2006-09-14	34,048	512	2	
41894	INFORMATIQUE ON LINE SARL	2006-11-10	33,421	512	2	
42630	NOMOSPHERE	2007-03-23	34,229	512	1	
43249	JOUVE SA	2007-07-03	37,120	512	1	
43390	Nissan Europe S.A.S.	2007-07-24	32,950	512	2	
43439	Xplorium France SARL	2007-07-31	32,958	512	2	
43617	ALPHANE SA	2007-08-31	35,402	512	1	
43702	NETSIZE	2009-01-28	35,416	512	2	
44726	MAGELLAN SAS	2008-02-29	34,881	512	1	
44986	Amadeus Data Processing GmbH	2008-04-14	32,148	512	1	
47127	TELEMAQUE SAS	2008-04-29	36,902	512	2	1
47244	PROXID SARL	2008-05-22	32,071	512	1	
47300	INRS	2008-05-30	32,079	512	3	
47314	VINCI	2008-06-02	34,148	512	1	1
47494	Softway Medical SAS	2008-06-25	36,967	512	2	
47599	Adecco It Services SAS	2008-07-18	36,289	512	2	
48613	CTRE INFORMATIQUE RECOUVREMENT SUD OUEST	2008-12-18	36,455	512	2	
48702	Gaz de France	2009-01-09	35,069	512	2	
49137	APPLI NOT	2009-04-16	33,719	512	2	
49504	LANESTEL SARL	2011-02-07	34,451	512	2	
