ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
35527	AlfaTEL	2005-08-26	16,541	3,328	7	1
39612	Tevia Ltd.	2006-03-24	16,625	3,328	11	
41098	NetFox Ltd.	2006-06-14	16,451	3,328	5	
41554	LEGIONCOM LTD	2006-09-13	16,585	3,328	5	
43901	Close Company MediaSeti	2007-10-17	16,522	3,328	4	
44579	CJSC "COMSTAR-regions"	2008-02-07	16,398	3,328	5	
48383	Delta LLC	2008-11-20	16,536	3,328	6	
50676	TelCom Ltd.	2010-03-08	16,643	3,328	13	
51740	Zing Ltd.	2010-10-28	16,510	3,328	9	1
199365	PROSTODNS-ANYCAST-2 ProstoDNS Ltd.,RU	2013-02-22	16,588	3,328	13	
199599	CIREX Telecom-Birzha, LLC,RU	2012-11-12	16,459	3,328	10	1
3203	PTO Videokanal, Ltd.	2012-05-03	16,746	3,072	2	
12820	Limited Liability Company "Alite"	1999-11-24	16,862	3,072	2	
15880	Private entrepreneur Chikalin Anatoly Nikolaevich	2011-02-03	17,422	3,072	6	
21051	Limited liability company Mail.Ru	2009-10-08	17,061	3,072	12	1
21184	Farpost Int.	2001-09-19	16,946	3,072	4	
25341	LLC Liniya	2007-05-07	17,085	3,072	2	1
29407	SibSUTIS	2003-08-29	17,127	3,072	10	
29588	Ivstar Ltd	2009-08-06	16,762	3,072	2	
31294	STIS Engineering Company Limited	2004-04-07	16,787	3,072	3	
34739	Electronic Shield Ltd.	2005-03-29	17,274	3,072	3	
34995	System Ltd	2009-08-10	17,461	3,072	4	
35295	Concorde Ltd.	2005-07-11	16,706	3,072	2	
35298	OJSC MegaFon	2005-07-11	17,018	3,072	4	
35410	OOO Nord-telecom	2007-05-14	17,132	3,072	9	
38984	m9com Ltd.	2005-11-23	17,088	3,072	10	1
41123	JSC Relax	2006-06-16	16,956	3,072	10	
41929	Sistemy Svyazi Ltd.	2008-12-19	16,777	3,072	4	
42192	CJSC Astarta	2007-01-11	16,886	3,072	6	
42484	Company Limited Gran Prix Telecom	2007-03-01	16,675	3,072	2	1
42498	Gerkon Ltd.	2007-03-02	16,783	3,072	14	
42891	OJSC MegaFon	2007-05-07	16,793	3,072	2	
42919	LTD Darya	2007-05-10	17,316	3,072	2	
43334	KrasTel Plus Ltd.	2007-07-16	17,004	3,072	6	
43747	ZAO Mostelekom	2007-09-21	16,868	3,072	6	
44096	Bigfoot Telecom Ltd.	2007-11-16	17,296	3,072	2	1
44362	Pentabox Ltd.	2010-04-01	16,973	3,072	2	
44436	LLC MyBox	2008-01-21	16,671	3,072	13	
44599	CJSC Astarta	2008-02-11	17,304	3,072	3	
44619	OOO IT-Telecom	2008-02-14	16,981	3,072	2	
44678	CJSC TransVostokTelecom	2008-02-22	16,890	3,072	4	
